/Vpeak (frequency=2500) X,/Vpeak (frequency=2500) Y,/Vpeak (frequency=3444.444) X,/Vpeak (frequency=3444.444) Y,/Vpeak (frequency=4388.889) X,/Vpeak (frequency=4388.889) Y,/Vpeak (frequency=5333.333) X,/Vpeak (frequency=5333.333) Y,/Vpeak (frequency=6277.778) X,/Vpeak (frequency=6277.778) Y,/Vpeak (frequency=8166.667) X,/Vpeak (frequency=8166.667) Y,/Vpeak (frequency=7222.222) X,/Vpeak (frequency=7222.222) Y,/Vpeak (frequency=9111.111) X,/Vpeak (frequency=9111.111) Y,/Vpeak (frequency=10055.56) X,/Vpeak (frequency=10055.56) Y,/Vpeak (frequency=11000) X,/Vpeak (frequency=11000) Y
9.503056160272046e-06,1.573025879356996,9.503056160272046e-06,1.573025879356996,9.503056160274919e-06,1.573025879357025,9.503056160274919e-06,1.573025879357025,9.503056160274919e-06,1.573025879357025,9.503056160274919e-06,1.573025879357025,9.503056160274919e-06,1.573025879357025,9.503056160274919e-06,1.573025879357025,9.503056160274919e-06,1.573025879357025,9.503056160274919e-06,1.573025879357025
1.128217962355889e-05,1.590077625676106,1.128217962355889e-05,1.590077625676106,1.128217962356388e-05,1.590077625676148,1.128217962356388e-05,1.590077625676148,1.128217962356388e-05,1.590077625676148,1.128217962356388e-05,1.590077625676148,1.128217962356388e-05,1.590077625676148,1.128217962356388e-05,1.590077625676148,1.128217962356388e-05,1.590077625676148,1.128217962356388e-05,1.590077625676148
1.342664155522901e-05,1.607096454480856,1.342664155522901e-05,1.607096454480856,1.342664155523542e-05,1.607096454480903,1.342664155523542e-05,1.607096454480903,1.342664155523542e-05,1.607096454480903,1.342664155523542e-05,1.607096454480903,1.342664155523542e-05,1.607096454480903,1.342664155523542e-05,1.607096454480903,1.342664155523542e-05,1.607096454480903,1.342664155523542e-05,1.607096454480903
1.601412056648646e-05,1.624089352213233,1.601412056648646e-05,1.624089352213233,1.6014120566495e-05,1.624089352213284,1.6014120566495e-05,1.624089352213284,1.6014120566495e-05,1.624089352213284,1.6014120566495e-05,1.624089352213284,1.6014120566495e-05,1.624089352213284,1.6014120566495e-05,1.624089352213284,1.6014120566495e-05,1.624089352213284,1.6014120566495e-05,1.624089352213284
1.913898540182167e-05,1.641060630779839,1.913898540182167e-05,1.641060630779839,1.913898540183242e-05,1.641060630779892,1.913898540183242e-05,1.641060630779892,1.913898540183242e-05,1.641060630779892,1.913898540183242e-05,1.641060630779892,1.913898540183242e-05,1.641060630779892,1.913898540183242e-05,1.641060630779892,1.913898540183242e-05,1.641060630779892,1.903269295475404e-05,1.640521796660532
2.291592892791914e-05,1.658012421146748,2.291592892791914e-05,1.658012421146748,2.291592892793143e-05,1.658012421146798,2.291592892793143e-05,1.658012421146798,2.291592892793143e-05,1.658012421146798,2.291592892793143e-05,1.658012421146798,2.291592892793143e-05,1.658012421146798,2.279301666701993e-05,1.657497645274166,2.248984948067569e-05,1.656218366814357,2.210703155503749e-05,1.654573578034705
2.691592892791914e-05,1.672967243227448,2.691592892791914e-05,1.672967243227448,2.691592892793143e-05,1.67296724322749,2.691592892793143e-05,1.67296724322749,2.691592892793143e-05,1.67296724322749,2.691592892793143e-05,1.67296724322749,2.691592892793143e-05,1.67296724322749,2.651385405832398e-05,1.671538986127632,2.583782478959496e-05,1.669087907636669,2.515704493331637e-05,1.666551453734541
3.091592892791914e-05,1.685689189856323,3.091592892791914e-05,1.685689189856323,3.091592892793143e-05,1.685689189856359,3.091592892793143e-05,1.685689189856359,3.091592892793143e-05,1.685689189856359,3.091592892793143e-05,1.685689189856359,3.091592892793143e-05,1.685689189856359,3.020185191179995e-05,1.683489914243566,2.917773380824312e-05,1.680240838342139,2.821439114802886e-05,1.677077462228173
3.116592892791914e-05,1.686412811883693,3.491592892791914e-05,1.696748922075124,3.491592892793144e-05,1.696748922075155,3.491592892793144e-05,1.696748922075155,3.491592892793144e-05,1.696748922075155,3.491592892793144e-05,1.696748922075155,3.491592892793144e-05,1.696748922075155,3.389580456332446e-05,1.69398033227461,3.253047808497177e-05,1.690137911831607,3.129492978376632e-05,1.686516997428647
3.129092892791914e-05,1.686771942887996,3.891592892791915e-05,1.706531619330999,3.891592892793144e-05,1.706531619331028,3.891592892793144e-05,1.706531619331028,3.891592892793144e-05,1.706531619331028,3.891592892793144e-05,1.706531619331028,3.891592892793144e-05,1.706531619331028,3.761446429097896e-05,1.703377919350542,3.592729304373079e-05,1.699118528443475,3.444088027413146e-05,1.695193196557769
