/Vpeak (pulse_width=1e-05) X,/Vpeak (pulse_width=1e-05) Y,/Vpeak (pulse_width=1.166667e-05) X,/Vpeak (pulse_width=1.166667e-05) Y,/Vpeak (pulse_width=1.5e-05) X,/Vpeak (pulse_width=1.5e-05) Y,/Vpeak (pulse_width=1.333333e-05) X,/Vpeak (pulse_width=1.333333e-05) Y,/Vpeak (pulse_width=1.666667e-05) X,/Vpeak (pulse_width=1.666667e-05) Y,/Vpeak (pulse_width=1.833333e-05) X,/Vpeak (pulse_width=1.833333e-05) Y
7.242446890530716e-09,0.01172302018813056,7.242446890530716e-09,0.01172302018813056,7.242446890530716e-09,0.01172302018813056,7.242446890530716e-09,0.01172302018813056,7.242446890530716e-09,0.01172302018813056,7.242446890530716e-09,0.01172302018813056
1.013044947893562e-08,0.0164876417562869,1.013044947893562e-08,0.0164876417562869,1.013044947893562e-08,0.0164876417562869,1.013044947893562e-08,0.0164876417562869,1.013044947893562e-08,0.0164876417562869,1.013044947893562e-08,0.0164876417562869
1.590645465574543e-08,0.02601688417611485,1.590645465574543e-08,0.02601688417611485,1.590645465574543e-08,0.02601688417611485,1.590645465574543e-08,0.02601688417611485,1.590645465574543e-08,0.02601688417611485,1.590645465574543e-08,0.02601688417611485
2.654889312483019e-08,0.04357476132479245,2.654889312483019e-08,0.04357476132479245,2.654889312483019e-08,0.04357476132479245,2.654889312483019e-08,0.04357476132479245,2.654889312483019e-08,0.04357476132479245,2.654889312483019e-08,0.04357476132479245
4.783377006299972e-08,0.07869052183995665,4.783377006299972e-08,0.07869052183995665,4.783377006299972e-08,0.07869052183995665,4.783377006299972e-08,0.07869052183995665,4.783377006299972e-08,0.07869052183995665,4.783377006299972e-08,0.07869052183995665
9.040352393933877e-08,0.1489220663809217,9.040352393933877e-08,0.1489220663809217,9.040352393933877e-08,0.1489220663809217,9.040352393933877e-08,0.1489220663809217,9.040352393933877e-08,0.1489220663809217,9.040352393933877e-08,0.1489220663809217
1.755430316920169e-07,0.2893852450349168,1.755430316920169e-07,0.2893852450349168,1.755430316920169e-07,0.2893852450349168,1.755430316920169e-07,0.2893852450349168,1.755430316920169e-07,0.2893852450349168,1.755430316920169e-07,0.2893852450349168
3.45822047197373e-07,0.5703119290306387,3.45822047197373e-07,0.5703119290306387,3.45822047197373e-07,0.5703119290306387,3.45822047197373e-07,0.5703119290306387,3.45822047197373e-07,0.5703119290306387,3.45822047197373e-07,0.5703119290306387
5.208329112497812e-07,0.8590456286814322,5.208329112497812e-07,0.8590456286814322,5.208329112497812e-07,0.8590456286814322,5.208329112497812e-07,0.8590456286814322,5.208329112497812e-07,0.8590456286814322,5.208329112497812e-07,0.8590456286814322
5.330234705197167e-07,0.8786278502689741,5.330234705197167e-07,0.8786278502689741,5.330234705197167e-07,0.8786278502689741,5.330234705197167e-07,0.8786278502689741,5.330234705197167e-07,0.8786278502689741,5.330234705197167e-07,0.8786278502689741
5.556326189967463e-07,0.9124585774745303,5.556326189967463e-07,0.9124585774745303,5.556326189967463e-07,0.9124585774745303,5.556326189967463e-07,0.9124585774745303,5.556326189967463e-07,0.9124585774745303,5.556326189967463e-07,0.9124585774745303
5.671135744077245e-07,0.9283436610970353,5.671135744077245e-07,0.9283436610970353,5.671135744077245e-07,0.9283436610970353,5.671135744077245e-07,0.9283436610970353,5.671135744077245e-07,0.9283436610970353,5.671135744077245e-07,0.9283436610970353
5.775387140126142e-07,0.9420253541968417,5.775387140126142e-07,0.9420253541968417,5.775387140126142e-07,0.9420253541968417,5.775387140126142e-07,0.9420253541968417,5.775387140126142e-07,0.9420253541968417,5.775387140126142e-07,0.9420253541968417
5.983889932223936e-07,0.9674556811998773,5.983889932223936e-07,0.9674556811998773,5.983889932223936e-07,0.9674556811998773,5.983889932223936e-07,0.9674556811998773,5.983889932223936e-07,0.9674556811998773,5.983889932223936e-07,0.9674556811998773
6.389153806946621e-07,1.010690022410373,6.389153806946621e-07,1.010690022410373,6.389153806946621e-07,1.010690022410373,6.389153806946621e-07,1.010690022410373,6.389153806946621e-07,1.010690022410373,6.389153806946621e-07,1.010690022410373
6.801323005971933e-07,1.047762964208451,6.801323005971933e-07,1.047762964208451,6.801323005971933e-07,1.047762964208451,6.801323005971933e-07,1.047762964208451,6.801323005971933e-07,1.047762964208451,6.801323005971933e-07,1.047762964208451
7.240585847386824e-07,1.081215694926733,7.240585847386824e-07,1.081215694926733,7.240585847386824e-07,1.081215694926733,7.240585847386824e-07,1.081215694926733,7.240585847386824e-07,1.081215694926733,7.240585847386824e-07,1.081215694926733
7.724670983214172e-07,1.112449799926405,7.724670983214172e-07,1.112449799926405,7.724670983214172e-07,1.112449799926405,7.724670983214172e-07,1.112449799926405,7.724670983214172e-07,1.112449799926405,7.724670983214172e-07,1.112449799926405
8.255957382678443e-07,1.141475475659907,8.255957382678443e-07,1.141475475659907,8.255957382678443e-07,1.141475475659907,8.255957382678443e-07,1.141475475659907,8.255957382678443e-07,1.141475475659907,8.255957382678443e-07,1.141475475659907
8.850482331584018e-07,1.168958562675076,8.850482331584018e-07,1.168958562675076,8.850482331584018e-07,1.168958562675076,8.850482331584018e-07,1.168958562675076,8.850482331584018e-07,1.168958562675076,8.850482331584018e-07,1.168958562675076
9.521778786855671e-07,1.195161482766743,9.521778786855671e-07,1.195161482766743,9.521778786855671e-07,1.195161482766743,9.521778786855671e-07,1.195161482766743,9.521778786855671e-07,1.195161482766743,9.521778786855671e-07,1.195161482766743
1e-06,1.211295126592176,1e-06,1.211295126592176,1e-06,1.211295126592176,1e-06,1.211295126592176,1e-06,1.211295126592176,1e-06,1.211295126592176
1.048213554552623e-06,1.225081684928406,1.048213554552623e-06,1.225081684928406,1.048213554552623e-06,1.225081684928406,1.048213554552623e-06,1.225081684928406,1.048213554552623e-06,1.225081684928406,1.048213554552623e-06,1.225081684928406
1.14464066365787e-06,1.249883437074835,1.14464066365787e-06,1.249883437074835,1.14464066365787e-06,1.249883437074835,1.14464066365787e-06,1.249883437074835,1.14464066365787e-06,1.249883437074835,1.14464066365787e-06,1.249883437074835
1.213698376568041e-06,1.265401903322606,1.213698376568041e-06,1.265401903322606,1.213698376568041e-06,1.265401903322606,1.213698376568041e-06,1.265401903322606,1.213698376568041e-06,1.265401903322606,1.213698376568041e-06,1.265401903322606
1.285662387491065e-06,1.279834535636777,1.285662387491065e-06,1.279834535636777,1.285662387491065e-06,1.279834535636777,1.285662387491065e-06,1.279834535636777,1.285662387491065e-06,1.279834535636777,1.285662387491065e-06,1.279834535636777
1.363508962300726e-06,1.293774138449328,1.363508962300726e-06,1.293774138449328,1.363508962300726e-06,1.293774138449328,1.363508962300726e-06,1.293774138449328,1.363508962300726e-06,1.293774138449328,1.363508962300726e-06,1.293774138449328
1.452409643152364e-06,1.307949969738501,1.452409643152364e-06,1.307949969738501,1.452409643152364e-06,1.307949969738501,1.452409643152364e-06,1.307949969738501,1.452409643152364e-06,1.307949969738501,1.452409643152364e-06,1.307949969738501
1.554788654880284e-06,1.322409804108384,1.554788654880284e-06,1.322409804108384,1.554788654880284e-06,1.322409804108384,1.554788654880284e-06,1.322409804108384,1.554788654880284e-06,1.322409804108384,1.554788654880284e-06,1.322409804108384
1.645703262246721e-06,1.333863865495096,1.645703262246721e-06,1.333863865495096,1.645703262246721e-06,1.333863865495096,1.645703262246721e-06,1.333863865495096,1.645703262246721e-06,1.333863865495096,1.645703262246721e-06,1.333863865495096
